List Name,Card Name,Description
Phase 1 — Foundation,1.1 Scaffold with create-solana-dapp,"Use create-solana-dapp to generate web/ + anchor/ wired together. Resource: github.com/solana-foundation/create-solana-dapp

Checklist:
- Run scaffold; confirm folder layout
- Document local dev commands for team
- Verify Anchor + React integration builds"
Phase 1 — Foundation,1.2 Design system (Tailwind + shadcn/ui),"Tokens: bg #0A0A0A | surface #111111 | primary #C41E3A | text #F5F5F0. Install only: Button Card Dialog Input Badge Avatar Toast.

Checklist:
- Apply tokens in tailwind config / CSS variables
- Init shadcn with above palette
- Add base layout typography + spacing rules"
Phase 1 — Foundation,1.3 Authentication (Privy + Phantom fallback),"Privy wraps app: email/phone OTP → embedded Solana wallet. Phantom path via @solana/wallet-adapter for users with existing wallets.

Checklist:
- Privy app config + Solana embedded wallet
- Wallet adapter bridge for Phantom
- Session / wallet address available to app shell
- Docs: docs.privy.io | docs.phantom.com"
Phase 1 — Foundation,1.4 Page shells routes,"Routes only (layout/nav; no production data yet): / landing+login | /dashboard member home | /groups/[id] group view.

Checklist:
- Router + empty page components with shared shell
- Placeholder sections labeled for Phase 4 data wiring
- Mobile-responsive shell"
Phase 1 — Foundation,Phase 1 checkpoint,"Any teammate: open deployed app → email login → OTP → see wallet address on dashboard. App live on Vercel."
Phase 2 — Groups & Vaults,2.1 Anchor: group program (GroupTable + MemberRecord),"On-chain structs: GroupTable (creator members<=10 contribution/cycle cycles balance); MemberRecord (wallet contributed total credit score++ on-time). Instructions: Create Group | Join Group | Contribute.

Checklist:
- Program accounts + instruction handlers + errors
- Devnet deploy + IDs in frontend env
- Basic tests / manual tx scripts
- Resources: solana.com docs quick-start | web3.js v2 repo"
Phase 2 — Groups & Vaults,2.2 Swig group treasury (multi-sig),"Attach Swig Programmable Smart Wallet per group treasury. Majority (e.g. 3/5) for outbound txs. Example: emergency loan proposal needs approvals before funds move.

Checklist:
- Integrate Swig vault creation/linking to Group PDA flow
- Document approval quorum + member UX touchpoints for requests
- Resource: build.onswig.com"
Phase 2 — Groups & Vaults,2.3 Group token Token-2022 + transfer hook,"Mint per-group token with Token-2022; transfer hook enforces governance so invalid transfers revert on-chain.

Checklist:
- Mint + distribution to members hooks up to Group/Member records
- Hook program or integration per Solana guidance
- Explorer verification on devnet"
Phase 2 — Groups & Vaults,Phase 2 checkpoint,"Devnet: create group → join → contribute → funds in Swig vault → group token visible in wallets → verifiable on explorer."
Phase 3 — AI Treasury Agent,3.1 Agent infrastructure (Vercel cron + SendAI + Skills + RTK),"Next.js route on schedule (24h cron on Vercel). SendAI + Solana Agent Skills: get_token_balance | get_yield_rate | deposit_to_kamino | withdraw_from_vault. Use RTK during dev for LLM token compression/cost.

Checklist:
- Cron route deployed with secrets isolated
- Skills wired against devnet vault test account
- solanaskills.com + solana.com/skills + rtk-ai/rtk linked in README for team"
Phase 3 — AI Treasury Agent,3.2 Agent decision loop,"Each run: (1) read vault balance (2) if balance > min reserve 10%% keep liquid: compare Kamino vs Jito APY pick higher (3) deploy 90%% of excess (4) log to Supabase (5) emit on-chain event for Helius/notifications downstream.

Checklist:
- Explicit constants for reserves and %% deploy
- Structured logs for auditing
- Safe failure modes (skip deposit on error notify)"
Phase 3 — AI Treasury Agent,3.3 Supabase table yield_events,"Columns at minimum: group_id amount protocol apy timestamp (align with Phase 4 dashboard copy).

Checklist:
- Migration + RLS policies as appropriate for hackathon demo
- Agent write path verified end-to-end
- Seed/query examples for frontend"
Phase 3 — AI Treasury Agent,Phase 3 checkpoint,"Cron can be triggered manually: reads vault → deposits Kamino devnet → row appears in yield_events Supabase."
Phase 4 — Interface & Notifications,4.1 Wire UI to live data (dashboard + groups + loans UI),"Dashboard: vault balance yield this week yield_events next contribution date member paid status. Group: roster history recent agent actions active loan requests. Loan view: pending requests votes cast vs needed approve/reject per member (within hackathon scope: no full disbursement pipeline per scope guard).

Checklist:
- Fetch on-chain via web3.js v2 where needed
- Read yield_events + group logs from Supabase
- Align copy with Scope Guard (credit score tracking yes full loan payout no)"
